Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,,,,,,,,
FPix_BpO_D1_BLD5_PNL2_RNG2,,5T,M-O-3-42,10075,11,1Tb,1TB,7,PR137,,PB-3,J12,3,,,CI-A 015,P115,4,SN112498/0024,8,30201210004667,B,0x7c,0x10,+z up left 3,4,+z up left 2,2,4,brown-4,31/32,2,b,1288,up center,,9,1,2,,,mfec 1 --> bottom (lower mezzanine),,,,,
FPix_BpO_D1_BLD6_PNL2_RNG2,,6T,M-B-2-03,10058,10,1Tb,1TB,5,PR137,,PB-3,J12,3,,,CI-A 015,P115,5,SN112498/0023,8,30201210004667,B,0x7c,0x10,+z up left 4,1,+z up left 2,2,5,brown-4,7/8,3,t,1289,up center,,9,1,2,,,mfec 2 --> down center (lower mezzanine),,,,,
FPix_BpO_D1_BLD7_PNL2_RNG2,,7T,M-Y-D-NB,7005,9,1Tb,1TB,4,PR137,,PB-3,J12,4,,,CI-A 015,P115,6,SN112498/0058,8,30201210004667,B,0x7c,0x10,+z up left 4,2,+z up left 2,2,6,orange-2,27/28,3,b,1289,up center,,9,1,2,,,mfec 3 --> up center (upper mezzanine),,,,,
FPix_BpO_D1_BLD8_PNL2_RNG2,,8T,M-N-3-23,7019,8,1Tb,1TB,3,PR137,,PB-3,J12,3,,,CI-A 015,P115,6,SN112498/0058,8,30201210004667,B,0x7c,0x10,+z up left 4,2,+z up left 2,2,6,brown-4,31/32,3,b,1289,up center,,9,1,2,,,mfec 4 --> top (upper mezzanine),,,,,
FPix_BpO_D1_BLD9_PNL2_RNG2,,9T,M-Y-S-NA,10022,7,1Tb,1TB,1,PR137,,PB-3,J12,3,,,CI-A 015,P115,7,SN112498/0025,8,30201210004667,B,0x7c,0x10,+z up left 4,3,+z up left 2,2,7,brown-4,7/8,4,t,1290,up center,,9,1,2,,,mfecchannel 1 --> lower one (within mezzanine bottom and up center),,,,,
FPix_BpO_D1_BLD10_PNL2_RNG2,,10T,M-N-3-06,10024,9,1Tc,1TC,7,PR133,,PB-20,J12,3,,,CI-A 049,P116,12,SN112498/0020,14,30201210004626,A,0x7e,0x10,+z down left 4,4,+z down left 2,2,8,orange-2,27/28,4,b,1290,up center,,10,1,1,,,mfecchannel 2 --> upper one (within mezzanine down center and top),,,,,
FPix_BpO_D1_BLD11_PNL2_RNG2,,11T,M-Y-J-NL,10077,8,1Tc,1TC,5,PR133,,PB-20,J12,3,,,CI-A 049,P116,13,SN112498/0057,14,30201210004626,A,0x7e,0x10,+z down left 4,3,+z down left 2,2,9,orange-2,3/4,5,t,1291,up center,,10,1,1,,,,,,,,
FPix_BpO_D1_BLD12_PNL2_RNG2,,12T,M-M-3-21,10080,7,1Tc,1TC,3,PR133,,PB-20,J12,3,,,CI-A 049,P116,18,SN112498/0059,14,30201210004626,A,0x7e,0x10,+z down left 4,2,+z down left 2,2,10,orange-2,27/28,5,b,1291,up center,,10,1,1,,,,,,,,
FPix_BpO_D1_BLD13_PNL2_RNG2,,13T,M-Y-F-NM,10041,6,1Tc,1TC,1,PR133,,PB-20,J12,3,,,CI-A 049,P116,19,SN112498/0060,14,30201210004626,A,0x7e,0x10,+z down left 4,1,+z down left 2,2,11,orange-2,3/4,6,t,1292,up center,,10,1,1,,,,,,,,
FPix_BpO_D1_BLD14_PNL2_RNG2,,14T,M-N-3-19,10092,9,1Td,1TD,7,PR136,,PB-26,J12,3,,,CI-A 048,P117,19,SN112498/0060,14,30201210004626,B,0x7d,0x10,+z down left 4,1,+z down left 2,2,11,brown-4,7/8,6,t,1292,up center,,10,1,2,,,,,,,,
FPix_BpO_D1_BLD15_PNL2_RNG2,,15T,M-Y-F-NA,10060,8,1Td,1TD,5,PR136,,PB-26,J12,3,,,CI-A 048,P117,20,SN112498/0042,14,30201210004626,B,0x7d,0x10,+z down left 3,3,+z down left 2,2,12,brown-4,31/32,6,b,1292,up center,,10,1,2,,,,,,,,
FPix_BpO_D1_BLD16_PNL2_RNG2,,16T,M-Y-K-NL,10095,7,1Td,1TD,3,PR136,,PB-26,J12,3,,,CI-A 048,P117,21,SN112498/0054,14,30201210004626,B,0x7d,0x10,+z down left 3,2,+z down left 2,2,13,brown-4,7/8,7,t,1293,up center,,10,1,2,,,,,,,,
FPix_BpO_D1_BLD17_PNL2_RNG2,,17T,M-K-3-43,10074,6,1Td,1TD,1,PR136,,PB-26,J12,3,,,CI-A 048,P117,22,SN112498/0053,14,30201210004626,B,0x7d,0x10,+z down left 3,1,+z down left 2,2,14,brown-4,31/32,7,b,1293,up center,,10,1,2,,,,,,,,
FPix_BpO_D1_BLD1_PNL1_RNG2,,1B,M-N-3-20,10051,5,1Ba,1BA,7,PR025,,PB-11,J11,1,,,CI-A 026,P67,1,SN112498/0007,8,30201210004667,A,0x7b,0x10,+z up left 3,1,+z up left 2,2,1,blue-1,1/2,1,t,1287,up center,,9,1,1,,,,,,,,
FPix_BpO_D1_BLD2_PNL1_RNG2,,2B,M-N-3-35,10067,4,1Ba,1BA,5,PR025,,PB-11,J11,1,,,CI-A 026,P67,2,SN112498/0021,8,30201210004667,A,0x7b,0x10,+z up left 3,2,+z up left 2,2,2,blue-1,25/26,1,b,1287,up center,,9,1,1,,,,,,,,
FPix_BpO_D1_BLD3_PNL1_RNG2,,3B,M-Y-K-NT,10052,3,1Ba,1BA,3,PR025,,PB-11,J11,1,,,CI-A 026,P67,3,SN112498/0022,8,30201210004667,A,0x7b,0x10,+z up left 3,3,+z up left 2,2,3,blue-1,1/2,2,t,1288,up center,,9,1,1,,,,,,,,
FPix_BpO_D1_BLD4_PNL1_RNG2,,4B,M-L-4-27,10063,2,1Ba,1BA,1,PR025,,PB-11,J11,1,,,CI-A 026,P67,4,SN112498/0024,8,30201210004667,A,0x7b,0x10,+z up left 3,4,+z up left 2,2,4,blue-1,25/26,2,b,1288,up center,,9,1,1,,,,,,,,
FPix_BpO_D1_BLD5_PNL1_RNG2,,5B,M-M-4-05,10064,6,1Bb,1BB,7,PR037,,PB-3,J11,1,,,CI-A 015,P79,4,SN112498/0024,8,30201210004667,B,0x7c,0x10,+z up left 3,4,+z up left 2,2,4,green-3,29/30,2,b,1288,up center,,9,1,2,,,,,,,,
