Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,,,,,,,
FPix_BmI_D1_BLD9_PNL2_RNG2,,9T,M-L-4-03,8057,7,1Tb,1TB,1,PR117,,PB-19,J12,3,,,CI-A 014,P98,7,SN122498/0044,8,30201210004620,B,0x7c,0x10,-z up left 4,3,-z up left 2,2,7,brown-4,7/8,4,t,1297,down center,,9,1,2,,mfecchannel 1 --> lower one (within mezzanine bottom and up center),,,,,
FPix_BmI_D1_BLD10_PNL2_RNG2,,10T,M-M-1-19,8054,9,1Tc,1TC,7,PR124,,PB-1,J12,3,,,CI-A 045,P43,12,SN122498/0035,14,30201210004691,A,0x7e,0x10,-z down left 4,4,-z down left 2,2,8,orange-2,27/28,4,b,1297,down center,,10,1,1,,mfecchannel 2 --> upper one (within mezzanine down center and top),,,,,
FPix_BmI_D1_BLD11_PNL2_RNG2,,11T,M-L-1-10,8060,8,1Tc,1TC,5,PR124,,PB-1,J12,3,,,CI-A 045,P43,13,SN122498/0039,14,30201210004691,A,0x7e,0x10,-z down left 4,3,-z down left 2,2,9,orange-2,3/4,5,t,1298,down center,,10,1,1,,,,,,,
FPix_BmI_D1_BLD12_PNL2_RNG2,,12T,M-L-1-06,8067,7,1Tc,1TC,3,PR124,,PB-1,J12,3,,,CI-A 045,P43,18,SN122498/0027,14,30201210004691,A,0x7e,0x10,-z down left 4,2,-z down left 2,2,10,orange-2,27/28,5,b,1298,down center,,10,1,1,,,,,,,
FPix_BmI_D1_BLD13_PNL2_RNG2,,13T,M-Y-Q-NE,8062,6,1Tc,1TC,1,PR124,,PB-1,J12,3,,,CI-A 045,P43,19,SN122498/0048,14,30201210004691,A,0x7e,0x10,-z down left 4,1,-z down left 2,2,11,orange-2,3/4,6,t,1299,down center,,10,1,1,,,,,,,
FPix_BmI_D1_BLD14_PNL2_RNG2,,14T,M-M-1-42,8008,9,1Td,1TD,7,PR123,,PB-12,J12,3,,,CI-A 006,P45,19,SN122498/0048,14,30201210004691,B,0x7d,0x10,-z down left 4,1,-z down left 2,2,11,brown-4,7/8,6,t,1299,down center,,10,1,2,,,,,,,
FPix_BmI_D1_BLD15_PNL2_RNG2,,15T,M-L-1-15,8059,8,1Td,1TD,5,PR123,,PB-12,J12,3,,,CI-A 006,P45,20,SN122498/0052,14,30201210004691,B,0x7d,0x10,-z down left 3,3,-z down left 2,2,12,brown-4,31/32,6,b,1299,down center,,10,1,2,,,,,,,
FPix_BmI_D1_BLD16_PNL2_RNG2,,16T,M-M-1-48,8053,7,1Td,1TD,3,PR123,,PB-12,J12,3,,,CI-A 006,P45,21,SN122498/0051,14,30201210004691,B,0x7d,0x10,-z down left 3,2,-z down left 2,2,13,brown-4,7/8,7,t,1300,down center,,10,1,2,,,,,,,
FPix_BmI_D1_BLD17_PNL2_RNG2,,17T,M-L-4-18,8046,6,1Td,1TD,1,PR123,,PB-12,J12,3,,,CI-A 006,P45,22,SN122498/0081,14,30201210004691,B,0x7d,0x10,-z down left 3,1,-z down left 2,2,14,brown-4,31/32,7,b,1300,down center,,10,1,2,,,,,,,
FPix_BmI_D1_BLD1_PNL1_RNG2,,1B,M-M-2-19,8003,5,1Ba,1BA,7,PR015,,PB-29,J11,1,,,CI-A 008,P46,1,SN122498/0045,8,30201210004620,A,0x7b,0x10,-z up left 3,1,-z up left 2,2,1,blue-1,1/2,1,t,1294,down center,,9,1,1,,,,,,,
FPix_BmI_D1_BLD2_PNL1_RNG2,,2B,M-K-3-22,8002,4,1Ba,1BA,5,PR015,,PB-29,J11,1,,,CI-A 008,P46,2,SN122498/0041,8,30201210004620,A,0x7b,0x10,-z up left 3,2,-z up left 2,2,2,blue-1,25/26,1,b,1294,down center,,9,1,1,,,,,,,
FPix_BmI_D1_BLD3_PNL1_RNG2,,3B,M-I-4-19,8043,3,1Ba,1BA,3,PR015,,PB-29,J11,1,,,CI-A 008,P46,3,SN122498/0046,8,30201210004620,A,0x7b,0x10,-z up left 3,3,-z up left 2,2,3,blue-1,1/2,2,t,1295,down center,,9,1,1,,,,,,,
FPix_BmI_D1_BLD4_PNL1_RNG2,,4B,M-L-1-30,8009,2,1Ba,1BA,1,PR015,,PB-29,J11,1,,,CI-A 008,P46,4,SN122498/0047,8,30201210004620,A,0x7b,0x10,-z up left 3,4,-z up left 2,2,4,blue-1,25/26,2,b,1295,down center,,9,1,1,,,,,,,
FPix_BmI_D1_BLD5_PNL1_RNG2,,5B,M-M-3-41,8039,6,1Bb,1BB,7,PR017,,PB-19,J11,1,,,CI-A 014,P95,4,SN122498/0047,8,30201210004620,B,0x7c,0x10,-z up left 3,4,-z up left 2,2,4,green-3,29/30,2,b,1295,down center,,9,1,2,,,,,,,
FPix_BmI_D1_BLD6_PNL1_RNG2,,6B,M-L-4-22,8028,5,1Bb,1BB,5,PR017,,PB-19,J11,1,,,CI-A 014,P95,5,SN122498/0028,8,30201210004620,B,0x7c,0x10,-z up left 4,1,-z up left 2,2,5,green-3,5/6,3,t,1296,down center,,9,1,2,,,,,,,
